Year,Field of Study,Number of AI Publications
2010,Other AI,69408
2010,Pattern recognition,23285
2010,Computer vision,17454
2010,Algorithm,12095
2010,Linguistics,8528
2010,Natural language processing,7313
2010,Data mining,6761
2010,Control theory,6193
2010,Machine learning,5999
2010,Human–computer interaction,5408
2011,Other AI,73973
2011,Pattern recognition,24195
2011,Computer vision,18414
2011,Algorithm,11761
2011,Linguistics,9353
2011,Natural language processing,6969
2011,Control theory,6618
2011,Data mining,6529
2011,Machine learning,6373
2011,Human–computer interaction,5983
2012,Other AI,76148
2012,Pattern recognition,25539
2012,Computer vision,19341
2012,Algorithm,12031
2012,Linguistics,9436
2012,Natural language processing,7825
2012,Machine learning,6916
2012,Data mining,6770
2012,Control theory,6630
2012,Human–computer interaction,5975
2013,Other AI,79208
2013,Pattern recognition,26843
2013,Computer vision,19930
2013,Algorithm,12450
2013,Linguistics,9453
2013,Natural language processing,7803
2013,Machine learning,7566
2013,Control theory,6992
2013,Data mining,6986
2013,Human–computer interaction,6425
2014,Other AI,82500
2014,Pattern recognition,28784
2014,Computer vision,20292
2014,Algorithm,12675
2014,Linguistics,9925
2014,Natural language processing,8665
2014,Machine learning,8371
2014,Data mining,7389
2014,Control theory,7177
2014,Human–computer interaction,6532
2015,Other AI,83266
2015,Pattern recognition,28965
2015,Computer vision,20291
2015,Algorithm,12330
2015,Linguistics,10283
2015,Machine learning,9335
2015,Natural language processing,8562
2015,Data mining,7317
2015,Control theory,6849
2015,Human–computer interaction,6802
2016,Other AI,83874
2016,Pattern recognition,29733
2016,Computer vision,18766
2016,Algorithm,12276
2016,Machine learning,10744
2016,Natural language processing,8909
2016,Linguistics,8810
2016,Data mining,7346
2016,Control theory,6955
2016,Human–computer interaction,6781
2017,Other AI,89373
2017,Pattern recognition,32603
2017,Computer vision,19296
2017,Machine learning,13706
2017,Algorithm,12538
2017,Natural language processing,9017
2017,Data mining,7705
2017,Human–computer interaction,7499
2017,Linguistics,7449
2017,Control theory,7206
2018,Other AI,101591
2018,Pattern recognition,38089
2018,Computer vision,21352
2018,Machine learning,19072
2018,Algorithm,14314
2018,Natural language processing,10979
2018,Data mining,9203
2018,Human–computer interaction,8352
2018,Control theory,7618
2018,Linguistics,6912
2019,Other AI,121111
2019,Pattern recognition,45133
2019,Machine learning,26492
2019,Computer vision,23597
2019,Algorithm,16404
2019,Natural language processing,12463
2019,Data mining,11839
2019,Human–computer interaction,9533
2019,Control theory,8284
2019,Linguistics,6803
2020,Other AI,137272
2020,Pattern recognition,47313
2020,Machine learning,33247
2020,Computer vision,24099
2020,Algorithm,17212
2020,Natural language processing,13989
2020,Data mining,13333
2020,Human–computer interaction,9672
2020,Control theory,8311
2020,Linguistics,7227
2021,Other AI,147147
2021,Pattern recognition,51687
2021,Machine learning,39931
2021,Computer vision,24798
2021,Algorithm,18296
2021,Data mining,15268
2021,Natural language processing,13433
2021,Human–computer interaction,9703
2021,Control theory,8451
2021,Linguistics,5783
