country,year,private_investment,number_of_newly_funded_companies,number_of_total_journal_publications,number_of_total_conference_publications,number_of_total_repository_publications,number_of_total_journal_citations,number_of_total_conference_citations,number_of_total_repository_citations,number_of_total_patent_fillings,number_of_total_patent_grants,year_h_index,relative_ai_skill_pen,ai_talent_concentration,norm_private_investment,norm_number_of_newly_funded_companies,norm_number_of_total_journal_publications,norm_number_of_total_conference_publications,norm_number_of_total_repository_publications,norm_number_of_total_journal_citations,norm_number_of_total_conference_citations,norm_number_of_total_repository_citations,norm_number_of_total_patent_fillings,norm_number_of_total_patent_grants,norm_year_h_index,norm_relative_ai_skill_pen,norm_ai_talent_concentration,econ_pillar,rd_pillar,vibrancy,rank
australia,2017,60264880,13,3151,2492,678,112029,50904,53144,46,24,0.9567213125,-,0.0049,0.5333795366,2.725366876,11.22023702,12.80357793,14.1221374,19.17837288,13.52792871,13.96467933,0.747481313,1.759530792,48.99330968,-,10.35714286,15.65229974,10.91549317,13.28389645,11
austria,2017,7224064,1,577,569,100,17311,11116,5135,4,1,-,-,-,0.0639372037,0.2096436059,1.891784148,2.803057881,1.865988126,2.567299767,2.167426641,1.214978091,0.06499837504,0.07331378299,-,-,-,0.1367904048,1.581105851,0.8589481281,30
belgium,2017,62665941,2,1250,595,181,45396,10685,11222,1,0,0.8875350404,-,0.0058,0.5546303348,0.4192872117,4.330808538,2.938270321,3.583545377,7.492678136,2.044365005,2.831496481,0.01624959376,0,15.63945748,-,13.57142857,7.546200899,2.904676682,5.22543879,22
brazil,2017,92535764,6,2084,1496,153,50108,12387,7543,27,2,0.9329256692,0.69262,0.002,0.8189957885,1.257861635,7.353314246,7.623901399,2.989821883,8.319040354,2.530329982,1.854468198,0.4387390315,0.146627566,37.52172223,0,0,7.919715931,3.907030332,5.913373132,21
canada,2017,423175019,41,3046,2172,517,85357,36260,70122,24,8,0.9797660858,1.0877,0.007,3.745347133,8.595387841,10.83970572,11.13942483,10.70822731,14.50079795,9.346688329,18.47350949,0.3899902502,0.5865102639,60.10291189,27.96967144,17.85714286,23.65409223,9.498106769,16.5760995,8
china,2017,6008831022,94,27648,19259,1346,572882,201827,112917,6154,52,1.049716023,1.66659,0.0127,53.18167904,19.70649895,100,100,28.28668363,100,56.62034486,29.83853406,100,3.812316716,93.82491782,68.95216385,38.21428571,54.77590908,64.81973491,59.79782199,2
denmark,2017,10280570,4,443,314,78,10448,4252,3157,6,3,0.8837922688,-,0.0064,0.0909890746,0.8385744235,1.406153735,1.476935878,1.399491094,1.363708108,0.2075772847,0.6896826451,0.09749756256,0.219941349,13.83511322,-,15.71428571,7.619740608,0.857623457,4.238682032,25
finland,2017,21935526,6,584,469,101,17938,6956,4038,16,5,0.8550939373,-,0.0111,0.1941422715,1.257861635,1.917152901,2.283010037,1.887192536,2.677259255,0.9796391524,0.9236489178,0.2599935002,0.366568915,0,-,32.5,8.488000977,1.411808152,4.949904564,23
france,2017,232636527,40,3236,3141,581,76578,49236,21977,38,15,0.9154285142,0.722,0.0068,2.058969718,8.385744235,11.52828616,16.17868844,12.06530958,12.96118974,13.05167161,5.687690878,0.6174845629,1.099706745,29.08655866,2.079955824,17.14285714,11.75081712,9.148753465,10.44978529,16
germany,2017,223080201,24,3979,3929,831,97988,55728,45292,107,39,0.9542305178,1.22145,0.0143,1.974390627,5.031446541,14.22099808,20.27666545,17.36641221,16.71594676,14.90530536,11.87943168,1.738706532,2.859237537,47.79252816,37.43849688,43.92857143,27.23308673,12.49533795,19.86421234,5
india,2017,2391457366,27,4782,6894,374,71024,44213,9323,65,16,0.8914795046,2.10515,0.0284,21.16580041,5.660377358,17.13115645,35.69608404,7.675996607,11.98716262,11.61747532,2.327180985,1.056223594,1.173020528,17.54103522,100,94.28571429,47.73058545,11.08303752,29.40681149,3
ireland,2017,72826718,5,315,313,60,9084,3525,1903,0,0,1.001480619,-,0.0087,0.644559171,1.048218029,0.9422679665,1.4717354,1.017811705,1.124497992,0,0.3566591422,0,0,70.57122173,-,23.92857143,24.04814259,0.6141215256,12.33113206,12
israel,2017,415586686,35,501,445,310,11128,33718,38370,20,8,0.893342071,1.09738,0.03,3.678185935,7.337526205,1.616351973,2.158198554,6.318914334,1.482962417,8.620881647,10.04116319,0.3249918752,0.5865102639,18.43895562,28.65496662,100,31.62192688,3.893746782,17.75783683,7
